Timestamp,Email or phone number (for the $50 Amazon gift card giveaway),What year are you?,What's your major, How do you usually study for exams? (Select all that apply),What tools do you currently use for studying? (Select all that apply),"If you use AI for studying, what do you use it for? (Select all that apply)", What's your biggest frustration when studying? (optional)," If an AI tutor could do ONE thing perfectly for you, what would it be? (optional)",Would you use an AI tutor connected to your actual course materials and grades?
2/27/2026 21:02:38,4zyp3t4f@www.lingeringp.com,Sophomore,Health & Pre-med,Flashcards (physical or digital),Quizlet,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 21:02:38,yf5sqjkm@www.lingeringp.com,Sophomore,Health & Pre-med,Flashcards (physical or digital),Quizlet,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 21:02:38,wi89vkvj@www.lingeringp.com,Sophomore,Health & Pre-med,Flashcards (physical or digital),Quizlet,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 21:03:31,h7p0b6i7en@hha.rehearsalk.com,Sophomore,Humanities & Social Science,"Flashcards (physical or digital), AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Anki, Google Docs & Slides","Summarizing readings & notes, Generating practice questions, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 21:03:31,lf1x78c6o7@hha.rehearsalk.com,Sophomore,Humanities & Social Science,"Flashcards (physical or digital), AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Anki, Google Docs & Slides","Summarizing readings & notes, Generating practice questions, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 21:03:31,nfc16tyeep@vvt.xintaitong.com,Sophomore,Humanities & Social Science,"Flashcards (physical or digital), AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Anki, Google Docs & Slides","Summarizing readings & notes, Generating practice questions, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 21:03:31,ut4gr2m1xj@hha.rehearsalk.com,Sophomore,Humanities & Social Science,"Flashcards (physical or digital), AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Anki, Google Docs & Slides","Summarizing readings & notes, Generating practice questions, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 21:03:31,w7zeomt1tz@vvt.xintaitong.com,Sophomore,Humanities & Social Science,"Flashcards (physical or digital), AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Anki, Google Docs & Slides","Summarizing readings & notes, Generating practice questions, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 21:03:31,rhgw686xi0@hha.rehearsalk.com,Sophomore,Humanities & Social Science,"Flashcards (physical or digital), AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Anki, Google Docs & Slides","Summarizing readings & notes, Generating practice questions, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 21:03:31,kjcvvz3hc2@vvt.xintaitong.com,Sophomore,Humanities & Social Science,"Flashcards (physical or digital), AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Anki, Google Docs & Slides","Summarizing readings & notes, Generating practice questions, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 21:03:32,nsmhspr4lb@hha.rehearsalk.com,Sophomore,Humanities & Social Science,"Flashcards (physical or digital), AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Anki, Google Docs & Slides","Summarizing readings & notes, Generating practice questions, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 21:03:32,btxt0kvkqa@vvt.xintaitong.com,Sophomore,Humanities & Social Science,"Flashcards (physical or digital), AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Anki, Google Docs & Slides","Summarizing readings & notes, Generating practice questions, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 21:03:32,ev1p9ngdt0@hha.rehearsalk.com,Sophomore,Humanities & Social Science,"Flashcards (physical or digital), AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Anki, Google Docs & Slides","Summarizing readings & notes, Generating practice questions, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 21:03:32,sdaw3nfb65@hha.rehearsalk.com,Sophomore,Humanities & Social Science,"Flashcards (physical or digital), AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Anki, Google Docs & Slides","Summarizing readings & notes, Generating practice questions, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 21:03:34,att06cxxsg@hha.rehearsalk.com,Sophomore,Humanities & Social Science,"Flashcards (physical or digital), AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Anki, Google Docs & Slides","Summarizing readings & notes, Generating practice questions, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 21:04:16,w5zq4bnn@www.lingeringp.com,Freshman,"(CS, Engineering, Math, Science)",Re-read notes & textbook,ChatGPT & Claude & AI chatbots,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 21:04:17,3o3vyujx@qqq.youngestsd.com,Sophomore,Arts & Design,"Re-read notes & textbook, AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Khan Academy","Explaining concepts I don't understand, Summarizing readings & notes",,,"Yeah, that sounds super useful"
2/27/2026 21:04:17,ogx7nj9i@www.lingeringp.com,Junior,Health & Pre-med,"Re-read notes & textbook, Tutoring (in-person or online)","ChatGPT & Claude & AI chatbots, Chegg & Course Hero","Explaining concepts I don't understand, Checking my work & homework help",,,Maybe — depends on how it works
2/27/2026 21:04:17,w36amv2n@qqq.youngestsd.com,Sophomore,Business & Econ,"Re-read notes & textbook, Practice problems & past exams","ChatGPT & Claude & AI chatbots, Quizlet","Explaining concepts I don't understand, Summarizing readings & notes",,,Maybe — depends on how it works
2/27/2026 21:04:17,hel37pup@qqq.youngestsd.com,Freshman,"(CS, Engineering, Math, Science)","Re-read notes & textbook, Watch YouTube & video explanations","ChatGPT & Claude & AI chatbots, Khan Academy","Explaining concepts I don't understand, Writing assistance",,,"Yeah, that sounds super useful"
2/27/2026 21:04:17,wnnwuwle@www.lingeringp.com,Junior,Humanities & Social Science,"Re-read notes & textbook, Watch YouTube & video explanations","ChatGPT & Claude & AI chatbots, Notion","Explaining concepts I don't understand, Generating practice questions",,,Maybe — depends on how it works
2/27/2026 21:05:27,yko5il1p@www.lingeringp.com,Junior,Arts & Design,Flashcards (physical or digital),Quizlet,Generating practice questions,,,"Yeah, that sounds super useful"
2/27/2026 21:05:27,ebzenz6hpn@vvt.xintaitong.com,Junior,Arts & Design,Practice problems & past exams,Quizlet,Generating practice questions,,,"Yeah, that sounds super useful"
2/27/2026 21:05:27,llv6lf3fi0@hha.rehearsalk.com,Junior,Arts & Design,Watch YouTube & video explanations,Quizlet,Generating practice questions,,,"Yeah, that sounds super useful"
2/27/2026 21:05:27,mbr0s6ju@qqq.youngestsd.com,Junior,Arts & Design,,Quizlet,Generating practice questions,,,"Yeah, that sounds super useful"
2/27/2026 21:05:27,wyugp2uaro@hha.rehearsalk.com,Junior,Arts & Design,Flashcards (physical or digital),Quizlet,Generating practice questions,,,"Yeah, that sounds super useful"
2/27/2026 21:05:27,mj7hoc29mc@vvt.xintaitong.com,Junior,Arts & Design,Watch YouTube & video explanations,Quizlet,Generating practice questions,,,"Yeah, that sounds super useful"
2/27/2026 21:05:27,rz2ppju114@vvt.xintaitong.com,Junior,Arts & Design,Flashcards (physical or digital),Quizlet,Generating practice questions,,,"Yeah, that sounds super useful"
2/27/2026 21:05:28,r539ci5vwq@hha.rehearsalk.com,Junior,Arts & Design,Watch YouTube & video explanations,Quizlet,Generating practice questions,,,"Yeah, that sounds super useful"
2/27/2026 21:05:29,xyxf8ros@qqq.youngestsd.com,Junior,Arts & Design,Watch YouTube & video explanations,Quizlet,Generating practice questions,,,"Yeah, that sounds super useful"
2/27/2026 21:07:15,8om126gei@zt.rehearsalk.com,Sophomore,Health & Pre-med,"Re-read notes & textbook, Flashcards (physical or digital), Study groups, Tutoring (in-person or online)","ChatGPT & Claude & AI chatbots, Anki, Notion, Khan Academy","Explaining concepts I don't understand, Summarizing readings & notes, Writing assistance",Not knowing what to focus on,Detecting exactly where your misunderstanding starts,"Probably not / No, I prefer studying on my own"
2/27/2026 21:07:15,cbyz494g6@zt.rehearsalk.com,Senior,Business & Econ,"Practice problems & past exams, Study groups, Tutoring (in-person or online)","ChatGPT & Claude & AI chatbots, Anki, Khan Academy, None really — just my notes","Summarizing readings & notes, Generating practice questions, Writing assistance",Studying but not remembering,Adapting to your level automatically,Maybe — depends on how it works
2/27/2026 21:07:15,qfozpljoh@zt.rehearsalk.com,Sophomore,Arts & Design,"Re-read notes & textbook, Flashcards (physical or digital), Study groups","ChatGPT & Claude & AI chatbots, Anki, Google Docs & Slides, Chegg & Course Hero","Explaining concepts I don't understand, Summarizing readings & notes, Writing assistance, I don't use AI for studying",Procrastination,"Switching explanations (visual, analogy, step-by-step, real-world) until it clicks","Yeah, that sounds super useful"
2/27/2026 21:07:15,ab16k4rk4@ce.xintaitong.com,Sophomore,"(CS, Engineering, Math, Science)","Re-read notes & textbook, Practice problems & past exams, Flashcards (physical or digital), Study groups, Tutoring (in-person or online)","ChatGPT & Claude & AI chatbots, Anki, Khan Academy, Chegg & Course Hero","Explaining concepts I don't understand, Summarizing readings & notes, Generating practice questions",Not knowing what to focus on,Adapting to your level automatically,"Yeah, that sounds super useful"
2/27/2026 21:07:15,8x694kq6y@ce.xintaitong.com,Senior,Business & Econ,"Re-read notes & textbook, Study groups, Tutoring (in-person or online)","ChatGPT & Claude & AI chatbots, Anki, Google Docs & Slides, Khan Academy","Summarizing readings & notes, Writing assistance, I don't use AI for studying",Studying but not remembering,"Switching explanations (visual, analogy, step-by-step, real-world) until it clicks",Maybe — depends on how it works
2/27/2026 21:07:15,35r09ohyz@ce.xintaitong.com,Senior,Humanities & Social Science,"Re-read notes & textbook, Flashcards (physical or digital), Study groups","ChatGPT & Claude & AI chatbots, Quizlet, Notion, Google Docs & Slides, Chegg & Course Hero","Summarizing readings & notes, Checking my work & homework help, Writing assistance",Procrastination,"Giving the right amount of challenge — not too easy, not overwhelming","Yeah, that sounds super useful"
2/27/2026 21:07:26,mj7nkkmke@rrc.rehearsalk.com,Sophomore,"(CS, Engineering, Math, Science)",Practice problems & past exams,ChatGPT & Claude & AI chatbots,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 21:07:26,hk790ki8z@vva.xintaitong.com,Sophomore,"(CS, Engineering, Math, Science)",Practice problems & past exams,ChatGPT & Claude & AI chatbots,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 21:07:26,dm9uab803@rrc.rehearsalk.com,Sophomore,"(CS, Engineering, Math, Science)",Practice problems & past exams,ChatGPT & Claude & AI chatbots,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 21:07:26,aissl09g5@vva.xintaitong.com,Sophomore,"(CS, Engineering, Math, Science)",Practice problems & past exams,ChatGPT & Claude & AI chatbots,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 21:07:26,6alhebygi@rrc.rehearsalk.com,Sophomore,"(CS, Engineering, Math, Science)",Practice problems & past exams,ChatGPT & Claude & AI chatbots,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 21:07:26,umpmr23a0@vva.xintaitong.com,Sophomore,"(CS, Engineering, Math, Science)",Practice problems & past exams,ChatGPT & Claude & AI chatbots,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 21:07:26,cub8yh444@rrc.rehearsalk.com,Sophomore,"(CS, Engineering, Math, Science)",Practice problems & past exams,ChatGPT & Claude & AI chatbots,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 21:07:26,ew8k4o3iq@vva.xintaitong.com,Sophomore,"(CS, Engineering, Math, Science)",Practice problems & past exams,ChatGPT & Claude & AI chatbots,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 21:07:26,kc4zlnf0o@vva.xintaitong.com,Sophomore,"(CS, Engineering, Math, Science)",Practice problems & past exams,ChatGPT & Claude & AI chatbots,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 21:07:37,c9f0gy8v@bbi.youngestsd.com,Sophomore,Arts & Design,"Re-read notes & textbook, AI tools (ChatGPT, Claude, etc.)",ChatGPT & Claude & AI chatbots,"Explaining concepts I don't understand, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 21:07:37,g2m9jkcm@ccv.xintaitong.com,Sophomore,Arts & Design,"Re-read notes & textbook, AI tools (ChatGPT, Claude, etc.)",ChatGPT & Claude & AI chatbots,"Explaining concepts I don't understand, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 21:07:37,hr1oonyu@ccv.xintaitong.com,Sophomore,Arts & Design,"Re-read notes & textbook, AI tools (ChatGPT, Claude, etc.)",ChatGPT & Claude & AI chatbots,"Explaining concepts I don't understand, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 21:07:37,khm0kik1@ccv.xintaitong.com,Sophomore,Arts & Design,"Re-read notes & textbook, AI tools (ChatGPT, Claude, etc.)",ChatGPT & Claude & AI chatbots,"Explaining concepts I don't understand, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 21:07:37,nh6r515hlh@hha.rehearsalk.com,Sophomore,Arts & Design,"Re-read notes & textbook, AI tools (ChatGPT, Claude, etc.)",ChatGPT & Claude & AI chatbots,"Explaining concepts I don't understand, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 21:07:37,g6a9b3d5@bbi.youngestsd.com,Sophomore,Arts & Design,"Re-read notes & textbook, AI tools (ChatGPT, Claude, etc.)",ChatGPT & Claude & AI chatbots,"Explaining concepts I don't understand, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 21:07:37,e2ef7iml@bbi.youngestsd.com,Sophomore,Arts & Design,"Re-read notes & textbook, AI tools (ChatGPT, Claude, etc.)",ChatGPT & Claude & AI chatbots,"Explaining concepts I don't understand, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 21:07:37,p95xff6m@bbi.youngestsd.com,Sophomore,Arts & Design,"Re-read notes & textbook, AI tools (ChatGPT, Claude, etc.)",ChatGPT & Claude & AI chatbots,"Explaining concepts I don't understand, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 21:07:37,yquv1yra@bbi.youngestsd.com,Sophomore,Arts & Design,"Re-read notes & textbook, AI tools (ChatGPT, Claude, etc.)",ChatGPT & Claude & AI chatbots,"Explaining concepts I don't understand, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 21:07:37,q7f76ou2@ccv.xintaitong.com,Sophomore,Arts & Design,"Re-read notes & textbook, AI tools (ChatGPT, Claude, etc.)",ChatGPT & Claude & AI chatbots,"Explaining concepts I don't understand, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 21:07:39,zbmlha69we@vvt.xintaitong.com,Sophomore,Arts & Design,"Re-read notes & textbook, AI tools (ChatGPT, Claude, etc.)",ChatGPT & Claude & AI chatbots,"Explaining concepts I don't understand, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 21:07:41,roomtcj3@bbi.youngestsd.com,Sophomore,Arts & Design,"Re-read notes & textbook, AI tools (ChatGPT, Claude, etc.)",ChatGPT & Claude & AI chatbots,"Explaining concepts I don't understand, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 21:07:44,w3borvolse@hha.rehearsalk.com,Junior,Humanities & Social Science,"Re-read notes & textbook, Study groups","ChatGPT & Claude & AI chatbots, Google Docs & Slides","Explaining concepts I don't understand, Generating practice questions",,,Maybe — depends on how it works
2/27/2026 21:07:44,zqgihbdvah@hha.rehearsalk.com,Sophomore,Business & Econ,"Re-read notes & textbook, Flashcards (physical or digital)","ChatGPT & Claude & AI chatbots, Anki","Explaining concepts I don't understand, Summarizing readings & notes",,,Maybe — depends on how it works
2/27/2026 21:07:44,w2lkx32v1v@hha.rehearsalk.com,Junior,Health & Pre-med,"Re-read notes & textbook, Study groups","ChatGPT & Claude & AI chatbots, Chegg & Course Hero","Explaining concepts I don't understand, Writing assistance",,,"Yeah, that sounds super useful"
2/27/2026 21:07:47,w9d4in92rr@vvt.xintaitong.com,Sophomore,Arts & Design,"Re-read notes & textbook, Tutoring (in-person or online)","ChatGPT & Claude & AI chatbots, Khan Academy","Explaining concepts I don't understand, Checking my work & homework help",,,Maybe — depends on how it works
2/27/2026 21:07:48,lqd15ji1vg@hha.rehearsalk.com,Freshman,"(CS, Engineering, Math, Science)",Re-read notes & textbook,ChatGPT & Claude & AI chatbots,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 21:07:53,y3sekxofhd@vvt.xintaitong.com,Freshman,"(CS, Engineering, Math, Science)","Re-read notes & textbook, Flashcards (physical or digital)","ChatGPT & Claude & AI chatbots, Google Docs & Slides",Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 21:08:10,c6z3mbehc6@hha.rehearsalk.com,Freshman,Business & Econ,Flashcards (physical or digital),Quizlet,Checking my work & homework help,,,"Yeah, that sounds super useful"
2/27/2026 21:08:10,fivss9ysf4@hha.rehearsalk.com,Freshman,Business & Econ,Flashcards (physical or digital),Quizlet,Checking my work & homework help,,,"Yeah, that sounds super useful"
2/27/2026 21:08:11,b9s7gnbmne@hha.rehearsalk.com,Freshman,Business & Econ,Flashcards (physical or digital),Quizlet,Checking my work & homework help,,,"Yeah, that sounds super useful"
2/27/2026 21:08:11,tnlq07af0a@hha.rehearsalk.com,Freshman,Business & Econ,Flashcards (physical or digital),Quizlet,Checking my work & homework help,,,"Yeah, that sounds super useful"
2/27/2026 21:08:12,sqt5mf3oah@vvt.xintaitong.com,Freshman,Business & Econ,Flashcards (physical or digital),Quizlet,Checking my work & homework help,,,"Yeah, that sounds super useful"
2/27/2026 21:08:13,exvb9gze2q@vvt.xintaitong.com,Freshman,Business & Econ,Flashcards (physical or digital),Quizlet,Checking my work & homework help,,,"Yeah, that sounds super useful"
2/27/2026 21:08:15,fw92j2637e@hha.rehearsalk.com,,,Practice problems & past exams,ChatGPT & Claude & AI chatbots,Generating practice questions,,,"Yeah, that sounds super useful"
2/27/2026 21:08:16,tgnu3z0cw4@hha.rehearsalk.com,,,Practice problems & past exams,ChatGPT & Claude & AI chatbots,Generating practice questions,,,"Yeah, that sounds super useful"
2/27/2026 21:08:16,mghq3sn2xh@vvt.xintaitong.com,,,Practice problems & past exams,ChatGPT & Claude & AI chatbots,Generating practice questions,,,"Yeah, that sounds super useful"
2/27/2026 21:08:25,rxs3o3odn@xxe.youngestsd.com,Junior,Humanities & Social Science,Watch YouTube & video explanations,Notion,Summarizing readings & notes,,,"Yeah, that sounds super useful"
2/27/2026 21:08:25,m5og9p8eb@ccv.lingeringp.com,Junior,Humanities & Social Science,Watch YouTube & video explanations,Notion,Summarizing readings & notes,,,"Yeah, that sounds super useful"
2/27/2026 21:08:25,ut8gz0jxm@xxe.youngestsd.com,Junior,Humanities & Social Science,Watch YouTube & video explanations,Notion,Summarizing readings & notes,,,"Yeah, that sounds super useful"
2/27/2026 21:08:25,az6rg264b@ccv.lingeringp.com,Junior,Humanities & Social Science,Watch YouTube & video explanations,Notion,Summarizing readings & notes,,,"Yeah, that sounds super useful"
2/27/2026 21:08:26,01vo3ly4a@ccv.lingeringp.com,Junior,Humanities & Social Science,Watch YouTube & video explanations,Notion,Summarizing readings & notes,,,"Yeah, that sounds super useful"
2/27/2026 21:08:27,pkrjsgsb5@ccv.lingeringp.com,Junior,Humanities & Social Science,Watch YouTube & video explanations,Notion,Summarizing readings & notes,,,"Yeah, that sounds super useful"
2/27/2026 21:08:28,h87nzf69y@xxe.youngestsd.com,Junior,Humanities & Social Science,Watch YouTube & video explanations,Notion,Summarizing readings & notes,,,"Yeah, that sounds super useful"
2/27/2026 21:08:29,b6wvakbei@xxe.youngestsd.com,Junior,Humanities & Social Science,Watch YouTube & video explanations,Notion,Summarizing readings & notes,,,"Yeah, that sounds super useful"
2/27/2026 21:08:34,7w4j64f43@xxe.youngestsd.com,Junior,Humanities & Social Science,Watch YouTube & video explanations,Notion,Summarizing readings & notes,,,"Yeah, that sounds super useful"
2/27/2026 21:08:34,0b6luxtn@cc.rehearsalk.com,Sophomore,Business & Econ,Flashcards (physical or digital),Anki,Generating practice questions,,,"Yeah, that sounds super useful"
2/27/2026 21:08:34,szt3sm6i@zz.xintaitong.com,Sophomore,Business & Econ,Flashcards (physical or digital),Quizlet,Generating practice questions,,,"Yeah, that sounds super useful"
2/27/2026 21:08:34,mmfkqath@zz.xintaitong.com,Sophomore,Business & Econ,Flashcards (physical or digital),Anki,Generating practice questions,,,"Yeah, that sounds super useful"
2/27/2026 21:08:35,xy2c2i4a@zz.xintaitong.com,Sophomore,Business & Econ,Flashcards (physical or digital),Quizlet,Generating practice questions,,,"Yeah, that sounds super useful"
2/27/2026 21:08:35,lt9b61qm@cc.rehearsalk.com,Sophomore,Business & Econ,Flashcards (physical or digital),Quizlet,Generating practice questions,,,"Yeah, that sounds super useful"
2/27/2026 21:08:35,5dts51uo@cc.rehearsalk.com,Sophomore,Business & Econ,Flashcards (physical or digital),Quizlet,Generating practice questions,,,"Yeah, that sounds super useful"
2/27/2026 21:08:36,0y0au8is@cc.rehearsalk.com,Sophomore,Business & Econ,Flashcards (physical or digital),Quizlet,"Generating practice questions, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 21:08:36,v7b1sfm5@zz.xintaitong.com,Sophomore,Business & Econ,Flashcards (physical or digital),Quizlet,"Generating practice questions, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 21:08:38,vmy9ohvy@zz.xintaitong.com,Sophomore,Business & Econ,Flashcards (physical or digital),Quizlet,Generating practice questions,,,"Yeah, that sounds super useful"
2/27/2026 21:08:50,y3sekxofhd@vvt.xintaitong.com,Freshman,"(CS, Engineering, Math, Science)","Re-read notes & textbook, Flashcards (physical or digital)","ChatGPT & Claude & AI chatbots, Google Docs & Slides",Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 21:11:02,e4l38fkrvj@hha.rehearsalk.com,Sophomore,Humanities & Social Science,Flashcards (physical or digital),Notion,Checking my work & homework help,,,"Yeah, that sounds super useful"
2/27/2026 21:11:02,h2ug4z3q@bbi.youngestsd.com,,,Re-read notes & textbook,Quizlet,Summarizing readings & notes,,,
2/27/2026 21:11:02,oxu6zlmih4@vvt.xintaitong.com,Sophomore,Humanities & Social Science,Flashcards (physical or digital),Notion,Checking my work & homework help,,,"Yeah, that sounds super useful"
2/27/2026 21:11:02,psxqrpf2@ccv.xintaitong.com,Sophomore,Humanities & Social Science,Flashcards (physical or digital),Notion,Checking my work & homework help,,,"Yeah, that sounds super useful"
2/27/2026 21:11:02,axooguab@ccv.xintaitong.com,Sophomore,Humanities & Social Science,Flashcards (physical or digital),Notion,Checking my work & homework help,,,"Yeah, that sounds super useful"
2/27/2026 21:11:02,xw0dzxmeol@hha.rehearsalk.com,Sophomore,Humanities & Social Science,Flashcards (physical or digital),Notion,Checking my work & homework help,,,"Yeah, that sounds super useful"
2/27/2026 21:11:02,udy2la4vk9@vvt.xintaitong.com,Sophomore,Humanities & Social Science,Flashcards (physical or digital),Notion,Checking my work & homework help,,,"Yeah, that sounds super useful"
2/27/2026 21:11:02,dcoxsssxnk@vvt.xintaitong.com,Sophomore,Humanities & Social Science,Flashcards (physical or digital),Notion,Checking my work & homework help,,,"Yeah, that sounds super useful"
2/27/2026 21:11:02,zqhpke6w@ccv.xintaitong.com,Sophomore,Humanities & Social Science,Flashcards (physical or digital),Notion,Checking my work & homework help,,,"Yeah, that sounds super useful"
2/27/2026 21:11:30,alfm1shb0k@vvt.xintaitong.com,Junior,Health & Pre-med,"Re-read notes & textbook, AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Khan Academy","Explaining concepts I don't understand, Checking my work & homework help",,,Maybe — depends on how it works
2/27/2026 21:11:30,w5mz1dlojz@hha.rehearsalk.com,Junior,Humanities & Social Science,"Re-read notes & textbook, Study groups","ChatGPT & Claude & AI chatbots, Google Docs & Slides","Explaining concepts I don't understand, Checking my work & homework help",,,Maybe — depends on how it works
2/27/2026 21:11:30,qbhj7uml3s@hha.rehearsalk.com,Freshman,"(CS, Engineering, Math, Science)",Re-read notes & textbook,ChatGPT & Claude & AI chatbots,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 21:11:30,d9dn60jdv4@vvt.xintaitong.com,Sophomore,Arts & Design,"Re-read notes & textbook, Watch YouTube & video explanations","ChatGPT & Claude & AI chatbots, Notion","Explaining concepts I don't understand, Writing assistance",,,"Yeah, that sounds super useful"
2/27/2026 21:11:30,z8yy39hag5@vvt.xintaitong.com,Sophomore,Business & Econ,"Re-read notes & textbook, Flashcards (physical or digital)","ChatGPT & Claude & AI chatbots, Quizlet","Explaining concepts I don't understand, Generating practice questions",,,Maybe — depends on how it works
2/27/2026 21:11:30,myi54x0izr@hha.rehearsalk.com,Freshman,"(CS, Engineering, Math, Science)","Re-read notes & textbook, Study groups","ChatGPT & Claude & AI chatbots, Chegg & Course Hero","Explaining concepts I don't understand, Generating practice questions",,,"Yeah, that sounds super useful"
2/27/2026 21:13:30,xp2pzpya@ccv.xintaitong.com,Freshman,Humanities & Social Science,Study groups,Notion,Generating practice questions,,,"Yeah, that sounds super useful"
2/27/2026 21:13:30,oxow54we@bbi.youngestsd.com,Freshman,Humanities & Social Science,Study groups,Notion,Generating practice questions,,,"Yeah, that sounds super useful"
2/27/2026 21:13:30,kms0h6fd@bbi.youngestsd.com,Freshman,Humanities & Social Science,Study groups,Notion,Generating practice questions,,,"Yeah, that sounds super useful"
2/27/2026 21:13:32,w7632htb@ccv.xintaitong.com,Freshman,Humanities & Social Science,Study groups,Notion,Generating practice questions,,,"Yeah, that sounds super useful"
2/27/2026 21:13:33,ngc4mo5t@ccv.xintaitong.com,Freshman,Humanities & Social Science,Study groups,Notion,Generating practice questions,,,"Yeah, that sounds super useful"
2/27/2026 21:13:34,v27f3u6v@bbi.youngestsd.com,Freshman,Humanities & Social Science,Study groups,Notion,Generating practice questions,,,"Yeah, that sounds super useful"
2/27/2026 21:14:32,e2ai40c6pt@vvt.xintaitong.com,Junior,Health & Pre-med,"Re-read notes & textbook, Tutoring (in-person or online)","ChatGPT & Claude & AI chatbots, Chegg & Course Hero","Explaining concepts I don't understand, Writing assistance",,,"Yeah, that sounds super useful"
2/27/2026 21:14:32,ujrxlvkbuk@vvt.xintaitong.com,Junior,Humanities & Social Science,"Re-read notes & textbook, AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Khan Academy","Explaining concepts I don't understand, Generating practice questions",,,Maybe — depends on how it works
2/27/2026 21:14:34,pfy0g1rqos@hha.rehearsalk.com,Sophomore,Business & Econ,"Re-read notes & textbook, Watch YouTube & video explanations","ChatGPT & Claude & AI chatbots, Google Docs & Slides","Explaining concepts I don't understand, Summarizing readings & notes",,,Maybe — depends on how it works
2/27/2026 21:14:33,frh9ebetas@hha.rehearsalk.com,Sophomore,Humanities & Social Science,"Re-read notes & textbook, Study groups","ChatGPT & Claude & AI chatbots, Khan Academy","Explaining concepts I don't understand, Checking my work & homework help",,,Maybe — depends on how it works
2/27/2026 21:14:45,zq7521e73p@vvt.xintaitong.com,Freshman,"(CS, Engineering, Math, Science)",Re-read notes & textbook,ChatGPT & Claude & AI chatbots,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
